Time elapsed was 283271366ns or 0.283271366s,,,,0.283271366
minimum m,c is 1.420000,27.160000 with error 9.785847,,
Time elapsed was 287760002ns or 0.287760002s,,,,0.287760002
minimum m,c is 1.420000,27.160000 with error 9.785847,,
Time elapsed was 252944516ns or 0.252944516s,,,,0.252944516
minimum m,c is 1.420000,27.160000 with error 9.785847,,
Time elapsed was 253939357ns or 0.253939357s,,,,0.253939357
minimum m,c is 1.420000,27.160000 with error 9.785847,,
Time elapsed was 287601853ns or 0.287601853s,,,,0.287601853
minimum m,c is 1.420000,27.160000 with error 9.785847,,
Time elapsed was 245398149ns or 0.245398149s,,,,0.245398149
minimum m,c is 1.420000,27.160000 with error 9.785847,,
Time elapsed was 268725465ns or 0.268725465s,,,,0.268725465
minimum m,c is 1.420000,27.160000 with error 9.785847,,
Time elapsed was 255240138ns or 0.255240138s,,,,0.255240138
minimum m,c is 1.420000,27.160000 with error 9.785847,,
Time elapsed was 243029745ns or 0.243029745s,,,,0.243029745
minimum m,c is 1.420000,27.160000 with error 9.785847,,
Time elapsed was 294250954ns or 0.294250954s,,,,0.294250954
,,,,
,,Mean,,0.2672161545
